"Region","Total","State_Municipal","Private"
"","169","148,1","20,9"
"","29,9","23,3","6,6"
"","41,4","38,8","2,6"
"","209,6","159,4","50,2"
"","73,3","65,8","7,5"
"","68,2","62,1","6,2"
"","102,4","88,1","14,3"
"","54,2","45,8","8,4"
"","166,8","142,4","24,4"
"","81,1","69","12,1"
"","59","51,1","7,9"
"","162,3","135","27,3"
"","121,4","117,3","4"
"","57,3","52,6","4,7"
